RegionID,SizeRank,City,RegionType,State,Date,New_Renter_Affordability
394689,392,Hot Springs,msa,AR,2015-01-31,0.19844373836344145
394542,396,Dubuque,msa,IA,2015-01-31,0.1797768943383264
753912,398,Pinehurst,msa,NC,2015-01-31,0.21968160894847405
394953,399,Paducah,msa,KY,2015-01-31,0.19144058307048611
395190,400,Victoria,msa,TX,2015-01-31,0.23396450159591442
395038,401,Rome,msa,GA,2015-01-31,0.22552241579829932
394441,405,Cape Girardeau,msa,MO,2015-01-31,0.18093544273945938
394580,407,Fairbanks,msa,AK,2015-01-31,0.2000510082780547
394513,409,Cumberland,msa,MD,2015-01-31,0.19104339241784343
394928,410,Ocean City,msa,NJ,2015-01-31,0.2356184200869804
394505,411,Corvallis,msa,OR,2015-01-31,0.23443379050295618
394988,412,Pocatello,msa,ID,2015-01-31,0.16958068657745645
394964,419,Parkersburg,msa,WV,2015-01-31,
394980,421,Pine Bluff,msa,AR,2015-01-31,0.19844373836344145
394641,422,Grants Pass,msa,OR,2015-01-31,0.23443379050295618
394568,432,Elmira,msa,NY,2015-01-31,0.2377657469238869
394644,433,Great Falls,msa,MT,2015-01-31,0.18107233105691412
394859,437,Midland,msa,MI,2015-01-31,0.19663285717060783
394755,438,Kokomo,msa,IN,2015-01-31,0.18899697141278762
394395,439,Bloomsburg,msa,PA,2015-01-31,0.18339428646571826
394675,441,Helena,msa,MT,2015-01-31,0.18107233105691412
394489,445,Columbus,msa,IN,2015-01-31,0.18899697141278762
394682,449,Hinesville,msa,GA,2015-01-31,0.2668297302380464
394445,454,Casper,msa,WY,2015-01-31,0.1911856284977929
394866,458,Minot,msa,ND,2015-01-31,
394638,462,Grand Island,msa,NE,2015-01-31,0.1693118978461578
395062,469,Sandusky,msa,OH,2015-01-31,0.1770811449700263
394516,472,Danville,msa,IL,2015-01-31,0.19641735525557413
394787,518,Lewiston,msa,ID,2015-01-31,0.16958068657745645
394570,523,Enid,msa,OK,2015-01-31,0.19710398402873397
395199,525,Walla Walla,msa,WA,2015-01-31,0.2023786340546856
394444,551,Carson City,msa,NV,2015-01-31,0.21601525818700779
394551,552,Eagle Pass,msa,TX,2015-01-31,0.23396450159591442
394913,1,New York,msa,NY,2015-02-28,0.3784139806487459
753899,2,Los Angeles,msa,CA,2015-02-28,0.3514050451675349
394463,3,Chicago,msa,IL,2015-02-28,0.2577618210950205
394514,4,Dallas,msa,TX,2015-02-28,0.2105654955209566
394692,5,Houston,msa,TX,2015-02-28,0.2358021378212086
395209,6,"Washington, D.C.",msa,VA,2015-02-28,0.2231178195671045
394974,7,Philadelphia,msa,PA,2015-02-28,0.2310897522619167
394856,8,Miami,msa,FL,2015-02-28,0.3565011122910779
394347,9,Atlanta,msa,GA,2015-02-28,0.205098452714478
394404,10,Boston,msa,MA,2015-02-28,0.3165513372461498
394976,11,Phoenix,msa,AZ,2015-02-28,0.2043454101798743
395057,12,San Francisco,msa,CA,2015-02-28,0.3083723079741803
395025,13,Riverside,msa,CA,2015-02-28,0.2863271393283142
394532,14,Detroit,msa,MI,2015-02-28,0.1924145025302331
395078,15,Seattle,msa,WA,2015-02-28,0.2204237849527032
394865,16,Minneapolis,msa,MN,2015-02-28,0.1907659385569281
395056,17,San Diego,msa,CA,2015-02-28,0.2942919864750172
395148,18,Tampa,msa,FL,2015-02-28,0.26398445729599
394530,19,Denver,msa,CO,2015-02-28,0.2194499270794462
394358,20,Baltimore,msa,MD,2015-02-28,0.2148011582179144
395121,21,St. Louis,msa,MO,2015-02-28,0.1831565598728475
394943,22,Orlando,msa,FL,2015-02-28,0.2682689580698301
394458,23,Charlotte,msa,NC,2015-02-28,0.2181472717766627
395055,24,San Antonio,msa,TX,2015-02-28,0.224759835676463
394998,25,Portland,msa,OR,2015-02-28,0.2162604145670815
395045,26,Sacramento,msa,CA,2015-02-28,0.2415050145964984
394982,27,Pittsburgh,msa,PA,2015-02-28,0.2235894168728102
394466,28,Cincinnati,msa,OH,2015-02-28,0.1807099189266959
394355,29,Austin,msa,TX,2015-02-28,0.21391058664781
394775,30,Las Vegas,msa,NV,2015-02-28,0.2236876688396411
394735,31,Kansas City,msa,MO,2015-02-28,0.1768234933491857
394492,32,Columbus,msa,OH,2015-02-28,0.1771440529618096
